z	mB	err_mB
0.43015	22.5444	0.015737702500000002
0.50818	22.7793	0.0199798225
0.28845	21.4826	0.01577536
0.17281	20.49025	0.01710864
0.31774	21.8387	0.023134410000000005
0.27509	21.50715	0.019099239999999996
0.10293	18.90405	0.0151905625
0.20584	20.5539	0.024853522500000003
0.2646	21.2449	0.019293209999999998
0.23466	20.8644	0.038083522499999994
0.21434	20.73405	0.030084902499999996
0.42784	23.03515	0.029121422499999997
0.40214	22.2536	0.022201
0.32218	21.54775	0.019670062500000005
0.45173	22.72345	0.015537622499999999
0.16139	20.07365	0.014436022500000001
0.35161	22.05965	0.01340964
0.249	21.02715	0.013421222499999998
0.08223	18.52945	0.014957290000000002
0.10588	19.1167	0.010030022500000001
0.33293	22.0508	0.020664062499999997
0.10227	19.0531	0.012232360000000001
